Loading parameters

Initial system energy
-531585.8493892984 kJ/mol

Energy minimization: 5000 steps
-493690.8469051649 kJ/mol

Generate initial velocities

MD run: 125000 steps
#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
73.6%	92000	92.00000000007523	-436661.62106859917	300.6037851106024	18.1	2:37
74.4%	93000	93.00000000008001	-437643.4857237465	303.926226137504	18.1	2:32
75.2%	94000	94.00000000008478	-436641.5577407405	301.7747410007539	18.1	2:27
76.0%	95000	95.00000000008956	-437552.61767267203	305.545297713719	18.1	2:23
76.8%	96000	96.00000000009433	-437481.18606083957	304.35900298788147	18.1	2:18
77.6%	97000	97.0000000000991	-437107.8077859639	303.6581013547074	18.1	2:13
78.4%	98000	98.00000000010388	-437567.4786478472	302.0115300873177	18.1	2:08
79.2%	99000	99.00000000010866	-436651.273195107	300.4099550338065	18.1	2:03
80.0%	100000	100.00000000011343	-436192.0490441029	305.80713193483655	18.1	1:59
80.8%	101000	101.0000000001182	-436778.4964874941	300.9104671847613	18.1	1:54
81.6%	102000	102.00000000012298	-436440.29620113084	301.51808916623287	18.1	1:49
82.4%	103000	103.00000000012776	-436366.7918971726	304.40055742132245	18.1	1:44
83.2%	104000	104.00000000013253	-436357.6178979953	302.4195115941297	18.1	1:40
84.0%	105000	105.0000000001373	-436613.32455195254	301.936192629686	18.1	1:35
84.8%	106000	106.00000000014208	-437603.270508287	304.3336827950592	18.1	1:30
85.6%	107000	107.00000000014685	-437193.59071835736	302.1950463000152	18.1	1:25
86.4%	108000	108.00000000015163	-436504.82214881806	301.5470626037227	18.1	1:21
87.2%	109000	109.0000000001564	-436521.3801235538	301.6273106728643	18.1	1:16
88.0%	110000	110.00000000016118	-437291.7872448242	302.67054640719374	18.1	1:11
88.8%	111000	111.00000000016595	-437658.82350984076	304.96522651360493	18.1	1:06
89.6%	112000	112.00000000017073	-436551.7618996394	305.03383053869214	18.1	1:02
90.4%	113000	113.0000000001755	-436981.0481856675	299.9644396836088	18.1	0:57
91.2%	114000	114.00000000018028	-437034.0788789601	301.78448028068897	18.1	0:52
92.0%	115000	115.00000000018505	-437348.42231041053	303.13467480781287	18.1	0:47
92.8%	116000	116.00000000018983	-437036.77129118005	302.484570398781	18.1	0:42
93.6%	117000	117.0000000001946	-436977.9609807315	303.5919789820904	18.1	0:38
94.4%	118000	118.00000000019938	-435983.92213048646	302.4478495527742	18.1	0:33
95.2%	119000	119.00000000020415	-436620.63443739945	307.12979903837066	18.1	0:28
96.0%	120000	120.00000000020893	-436253.58342882106	302.485708999021	18.1	0:23
96.8%	121000	121.0000000002137	-436266.42426548013	304.33381930908195	18.1	0:19
97.6%	122000	122.00000000021848	-436725.7224796107	306.20452553133504	18.1	0:14
98.4%	123000	123.00000000022325	-436964.7296945532	303.42202324261467	18.1	0:09
99.2%	124000	124.00000000022803	-437491.97802952863	301.3914253123718	18.1	0:04
100.0%	125000	125.0000000002328	-437971.0266874763	299.5559463449676	18.1	0:00
